Training Data Percentage,Train Time,Test Time
0.01,0.00160440742911,0.0031471068869
0.04,0.00184348176845,0.00146371324081
0.07,0.00329908481945,0.00207056712679
0.1,0.00341862198547,0.00128775735357
0.13,0.00430333808617,0.00143409341399
0.16,0.00459389450407,0.00128211548144
0.19,0.00638977297785,0.00129904109053
0.22,0.00641269308835,0.00128669949481
0.25,0.00924138680421,0.00115235241537
0.28,0.0109184333414,0.00112308520329
0.31,0.0101151717754,0.00110087032954
0.34,0.00943356307835,0.00250534390943
0.37,0.00920013061113,0.00091186760983
0.4,0.0114226756705,0.000741200972698
0.43,0.0134660912954,0.00260090312076
0.46,0.0130327249717,0.0010522091834
0.49,0.0123856727441,0.00122534413822
0.52,0.0145486255351,0.0015585672154
0.55,0.015950983412,0.00109276013973
0.58,0.0197261012072,0.000762005372962
0.61,0.0211020128118,0.000642468206934
0.64,0.0171555231427,0.0010282312287
0.67,0.0166526912799,0.000501421396621
0.7,0.0245456706034,0.000576881437155
0.73,0.0192659359964,0.000441829128249
0.76,0.0211735940684,0.000541972352949
0.79,0.0227374505339,0.000351559167029
0.82,0.0249173289412,0.000365663850971
0.85,0.0226443596475,0.000564539841434
0.88,0.0242314888383,0.000354380106728
0.91,0.0255523921878,0.000384705163015
0.94,0.0261275105513,0.000251415927778
0.97,0.0301508707125,0.000500716167153
