Training Data Percentage,Train Time,Test Time
0.01,0.000707702354703,0.000732385546144
0.04,0.000870258802024,0.000522931033629
0.07,0.00119255074969,0.000523283655639
0.1,0.00164178483101,0.000555371807422
0.13,0.00222042936366,0.000748958540498
0.16,0.00228178472753,0.000520815330674
0.19,0.00338864953665,0.000748605925764
0.22,0.00418626923783,0.000631184462691
0.25,0.00539186681999,0.000646699612844
0.28,0.00515243986592,0.000504594951053
0.31,0.00471801569802,0.00046192829177
0.34,0.00547296873265,0.000485906246467
0.37,0.00573848935164,0.000469333244837
0.4,0.00891838960524,0.000602269872616
0.43,0.00984471451375,0.000537740954314
0.46,0.0117992706437,0.000488021956699
0.49,0.00919695704943,0.000630126611213
0.52,0.00812711702019,0.000369542634871
0.55,0.00884751359263,0.000531746460183
0.58,0.0108923396765,0.000509884208441
0.61,0.0139847909231,0.000437950337073
0.64,0.0113606150771,0.000443239587185
0.67,0.0106571441283,0.000326523353579
0.7,0.0111296509276,0.000319118400512
0.73,0.0118186645777,0.000289851188427
0.76,0.0119822788838,0.000267283692665
0.79,0.0145031379434,0.000288793336949
0.82,0.012710433024,0.000232374615734
0.85,0.0159009117997,0.000272220335319
0.88,0.0165511375817,0.000327228590322
0.91,0.0163296940955,0.000254589482211
0.94,0.0200857705568,0.000261994449829
0.97,0.0226129767325,0.000218269931793
