Training Data Percentage,Train Time,Test Time
0.01,0.00166682063718,0.00563411471376
0.04,0.00594371245097,0.0106941689155
0.07,0.0121042843675,0.0216016711274
0.1,0.0213047675934,0.0233118636606
0.13,0.0314869365975,0.025355631893
0.16,0.0344383410338,0.0271017913619
0.19,0.0648427433844,0.0339048314927
0.22,0.0598676698864,0.0331093274945
0.25,0.0794520190539,0.0356118504642
0.28,0.0977856356476,0.0488773026809
0.31,0.138987876322,0.0451236945228
0.34,0.180070227208,0.0484315947615
0.37,0.173415286226,0.0444882786614
0.4,0.171919837463,0.0492397929702
0.43,0.207511236142,0.0464597604005
0.46,0.247889058221,0.0366823957374
0.49,0.227568797345,0.033581834301
0.52,0.261010290073,0.0367839494356
0.55,0.363627484097,0.0393996624771
0.58,0.34332979071,0.0383132494389
0.61,0.459192337774,0.0371608970308
0.64,0.416823640007,0.0380537233141
0.67,0.459504403829,0.0309174601134
0.7,0.454473264224,0.0307718292825
0.73,0.521292073383,0.030902297578
0.76,0.495749554473,0.0261303314765
0.79,0.545538019513,0.027176546173
0.82,0.626403680195,0.0237226624813
0.85,0.613175252773,0.0196372417195
0.88,0.709404436908,0.0151745207404
0.91,0.69927833401,0.0170430383223
0.94,0.733573865153,0.00666164069844
0.97,0.779563939694,0.00320176251989
