Training Data Percentage,Train Time,Test Time
0.01,0.00258503536315,0.00736616949871
0.04,0.052455307552,0.0252427944506
0.07,0.212756766901,0.0354937237644
0.1,0.509510080963,0.0639329914848
0.13,0.947030576834,0.0633074488942
0.16,1.40061136739,0.0865875770178
0.19,1.7042696279,0.105655694868
0.22,2.06052036399,0.116187659951
0.25,2.52473608379,0.12934521136
0.28,3.13497826822,0.143509131718
0.31,3.86709794079,0.159145580757
0.34,4.88204678664,0.180999725664
0.37,5.89603087233,0.192802169862
0.4,7.50765319975,0.189778126318
0.43,6.84467537724,0.198059689596
0.46,8.55118271274,0.358779705341
0.49,10.4566884043,0.220422660866
0.52,10.1653262518,0.196332218824
0.55,11.9636303756,0.227460191301
0.58,12.919877656,0.209182640807
0.61,14.8374675328,0.207437186567
0.64,14.8876724385,0.199126003456
0.67,16.856571265,0.182551945778
0.7,19.6251666997,0.180930612732
0.73,20.9443954699,0.169213854468
0.76,22.2330463501,0.146453836438
0.79,21.9636028714,0.139628934056
0.82,23.1917347982,0.123389862543
0.85,25.7995580298,0.154244556827
0.88,29.8547697446,0.0858153457521
0.91,27.7554999439,0.0638180383394
0.94,28.3245398877,0.0483437931252
0.97,29.6116801566,0.0275993339746
