Training Data Percentage,Train Time,Test Time
0.01,0.000964760161878,0.0126533090661
0.04,0.000761652758229,0.0201249110542
0.07,0.00108464994264,0.0344020214834
0.1,0.00107407143514,0.0288980224577
0.13,0.00164883717662,0.0457594630061
0.16,0.00137520636781,0.0338205560183
0.19,0.00158113470388,0.0420598052588
0.22,0.00143479865073,0.0441970169995
0.25,0.00169679308601,0.0543368719664
0.28,0.00190624759853,0.0564962985809
0.31,0.00187592253496,0.0472013139952
0.34,0.0028748865443,0.0471410164828
0.37,0.00205752030161,0.0527039025546
0.4,0.00220244588854,0.0553573456127
0.43,0.00289251739741,0.0526488942924
0.46,0.00369824728114,0.057460000884
0.49,0.00250005465205,0.061233708213
0.52,0.00370212607231,0.0728524389415
0.55,0.0049898834186,0.0695470070204
0.58,0.00339887542941,0.0590443091496
0.61,0.00434071548807,0.0509944152509
0.64,0.0053544894181,0.0582361109409
0.67,0.00566902379796,0.0448881463526
0.7,0.00447470995277,0.0348262197585
0.73,0.00404028579214,0.032864611283
0.76,0.00543312300579,0.0305422756064
0.79,0.00574413121649,0.0246482821531
0.82,0.00410164114874,0.0251705079572
0.85,0.00588059399888,0.0216154231894
0.88,0.00473705701734,0.0196199634811
0.91,0.00511929386266,0.0119798105588
0.94,0.00441264935944,0.00795398207265
0.97,0.00506252251944,0.00451173473994
