Training Data Percentage,Train Time,Test Time
0.01,0.0239501004617,0.0558739295448
0.04,0.0380022412355,0.05204874013
0.07,0.0621649697569,0.050933412509
0.1,0.0775655180041,0.0492620078439
0.13,0.104133094588,0.0522839356854
0.16,0.130728175296,0.0466769724881
0.19,0.139865892699,0.0434611052842
0.22,0.172652928239,0.045378636627
0.25,0.190099713036,0.0417368080671
0.28,0.576011534809,0.0404314198677
0.31,0.221474164806,0.0392790674523
0.34,0.252229068479,0.0440482126214
0.37,0.524339742267,0.0343378451871
0.4,0.718962473795,0.0319576803158
0.43,0.636871821596,0.0280496259074
0.46,0.656178661171,0.0294935925995
0.49,0.889209496119,0.0281515322204
0.52,0.736484013403,0.0248284694535
0.55,0.81297510735,0.0246006788584
0.58,0.60280795984,0.0225551475378
0.61,0.971456710264,0.0215029383617
0.64,1.50478289723,0.0198583325837
0.67,0.831315776297,0.017948911438
0.7,0.627658996775,0.0178195009939
0.73,1.2792180224,0.0149474353748
0.76,1.21913560875,0.0133941574168
0.79,0.997361014241,0.0118722623665
0.82,0.729982460834,0.0103419045117
0.85,1.34369580717,0.00876782214618
0.88,1.2671461788,0.00594582814665
0.91,0.972998704485,0.00460623609979
0.94,2.29803401908,0.00297326668806
0.97,1.38298333743,0.00169785093749
