mean_fit_time,mean_score_time,mean_test_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__solver,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,std_fit_time,std_score_time,std_test_score
1.6933333079,0.0368333260218,0.1,logistic,316.2277660168379,"(250, 250, 250)",constant,adam,"{'MLP__hidden_layer_sizes': (250, 250, 250), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 316.2277660168379}",376,0.1,0.1,0.1,0.1,0.1,0.1,0.516558693664,0.0142292953685,1.88211657277e-17
4.60250004133,0.038499991099,0.1,logistic,316.2277660168379,"(500, 500, 500)",constant,adam,"{'MLP__hidden_layer_sizes': (500, 500, 500), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 316.2277660168379}",376,0.1,0.1,0.1,0.1,0.1,0.1,0.393574929606,0.0182002175214,1.60103407241e-17
1.07433331013,0.00766666730245,0.206374384026,logistic,100.0,"(125,)",constant,adam,"{'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",342,0.263966338772,0.267467532468,0.359307359307,0.147186147186,0.1,0.0945454545455,0.547219587287,0.00159858578484,0.0980301363964
1.02650006612,0.0133333603541,0.27121101841,logistic,100.0,"(250,)",constant,adam,"{'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",332,0.38133822699,0.310216450216,0.254545454545,0.166904761905,0.307359307359,0.203961038961,0.481520767097,0.00508811598559,0.071571180252
1.75150001049,0.0133332808812,0.301428829722,logistic,100.0,"(500,)",constant,adam,"{'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",327,0.274761904762,0.277272727273,0.236818181818,0.350324675325,0.366428571429,0.305,0.232096818515,0.00228519747437,0.0448837622231
1.10716660817,0.0158334175746,0.105200351715,logistic,100.0,"(125, 125)",constant,adam,"{'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",370,0.1,0.1,0.1,0.1,0.131578947368,0.1,0.115879837086,0.00429796443244,0.0117123001642
1.64383327961,0.0261667172114,0.121654681834,logistic,100.0,"(250, 250)",constant,adam,"{'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",359,0.1,0.104545454545,0.1,0.118181818182,0.208506493506,0.1,0.652438593588,0.0093169733642,0.0390943499042
2.87750005722,0.0229999621709,0.106794332689,logistic,100.0,"(500, 500)",constant,adam,"{'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",369,0.1,0.140476190476,0.1,0.1,0.1,0.1,0.560975918434,0.00668323839892,0.0151276484425
1.34266662598,0.0183333953222,0.1,logistic,100.0,"(125, 125, 125)",constant,adam,"{'MLP__hidden_layer_sizes': (125, 125, 125), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",394,0.1,0.1,0.1,0.1,0.1,0.1,0.442554901792,0.00771721792905,1.96612546988e-17
1.91766667366,0.030166665713,0.1,logistic,100.0,"(250, 250, 250)",constant,adam,"{'MLP__hidden_layer_sizes': (250, 250, 250), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",376,0.1,0.1,0.1,0.1,0.1,0.1,0.63036247776,0.00784042591267,1.60103407241e-17
5.82683324814,0.0415000518163,0.1,logistic,100.0,"(500, 500, 500)",constant,adam,"{'MLP__hidden_layer_sizes': (500, 500, 500), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 100.0}",376,0.1,0.1,0.1,0.1,0.1,0.1,0.846470786369,0.0135738439394,1.60103407241e-17
1.41933333874,0.0066667397817,0.519933242653,logistic,31.622776601683793,"(125,)",constant,adam,"{'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",305,0.444841897233,0.623246753247,0.447034632035,0.290767828663,0.628246753247,0.690086580087,0.57862963681,0.00235704845653,0.138013895185
0.958166718483,0.00733335812887,0.662745028368,logistic,31.622776601683793,"(250,)",constant,adam,"{'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",289,0.696980990024,0.649502164502,0.728506493506,0.528636363636,0.671623376623,0.700692640693,0.168772468358,0.00110554533738,0.064755828192
0.95666662852,0.00900002320608,0.669276761322,logistic,31.622776601683793,"(500,)",constant,adam,"{'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",287,0.614559570864,0.631774891775,0.690454545455,0.715861244019,0.719463431306,0.644880382775,0.155639248864,0.00191486069153,0.0411318601377
0.714000026385,0.0086665948232,0.145200153,logistic,31.622776601683793,"(125, 125)",constant,adam,"{'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",353,0.182213438735,0.181818181818,0.154545454545,0.1,0.105,0.146103896104,0.345672291989,0.00309119636209,0.0328305244874
1.21883336703,0.0204999844233,0.109485582039,logistic,31.622776601683793,"(250, 250)",constant,adam,"{'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",366,0.138095238095,0.104545454545,0.1,0.113636363636,0.1,0.1,0.308272777512,0.00916058859625,0.0137958354319
3.01849997044,0.0223333438238,0.117398671337,logistic,31.622776601683793,"(500, 500)",constant,adam,"{'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",363,0.1,0.127272727273,0.1,0.1,0.119047619048,0.159090909091,0.644906894023,0.00481884495004,0.0213101226509
1.20449995995,0.0113333861033,0.102267303103,logistic,31.622776601683793,"(125, 125, 125)",constant,adam,"{'MLP__hidden_layer_sizes': (125, 125, 125), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",373,0.1,0.1,0.1,0.113636363636,0.1,0.1,0.379506093269,0.00110555731739,0.00507711593546
1.66900002956,0.0204999446869,0.108506269652,logistic,31.622776601683793,"(250, 250, 250)",constant,adam,"{'MLP__hidden_layer_sizes': (250, 250, 250), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",368,0.1,0.1,0.1,0.1,0.1,0.151904761905,0.508198810565,0.00359401447693,0.019213518095
4.14516671499,0.031333287557,0.1,logistic,31.622776601683793,"(500, 500, 500)",constant,adam,"{'MLP__hidden_layer_sizes': (500, 500, 500), 'MLP__learning_rate': 'constant', 'MLP__activation': 'logistic', 'MLP__solver': 'adam', 'MLP__alpha': 31.622776601683793}",376,0.1,0.1,0.1,0.1,0.1,0.1,0.278229781083,0.010077556879,1.88211657277e-17
