Training Data Percentage,Train Time,Test Time
0.01,0.0123006920476,0.00285937139415
0.04,0.0634347436353,0.015491523438
0.07,0.491601720489,0.104839386477
0.1,0.446665618219,0.0697190841238
0.13,0.451623766108,0.0655991068925
0.16,0.481440355892,0.0658134980404
0.19,0.533026815116,0.0607347551268
0.22,0.517823027156,0.056932133215
0.25,0.724958020946,0.0906176369172
0.28,0.666314637347,0.0562674501343
0.31,0.614953147779,0.0570953948918
0.34,0.66512667061,0.0478370824785
0.37,0.791919992611,0.0555995934992
0.4,0.780277636535,0.0754032704499
0.43,0.844049482046,0.0493208948828
0.46,0.786774605091,0.0391761032879
0.49,0.855835000621,0.0374031449246
0.52,0.971582594546,0.0447837717147
0.55,1.00161851211,0.0433510887742
0.58,1.0387455579,0.037231067814
0.61,1.10037772335,0.0357176355756
0.64,1.12947180086,0.0540417315133
0.67,1.13215768469,0.0267657473451
0.7,1.14593584203,0.024772403347
0.73,1.54851692809,0.0323642477379
0.76,1.35441606974,0.0264737804537
0.79,1.25357042361,0.0229592466349
0.82,1.31135342169,0.0226154450502
0.85,1.37437172463,0.0150292425242
0.88,1.39549630493,0.0151431378254
0.91,1.43515866707,0.0182186634556
0.94,1.42769447005,0.0130415403983
0.97,1.6072269563,0.00941099558986
