Training Data Percentage,Train Time,Test Time
0.01,0.118701114065,0.0653078452306
0.04,0.741059571825,0.365659968586
0.07,0.719052743749,0.347553437343
0.1,0.800262206016,0.390151688793
0.13,1.05374165443,0.478379640183
0.16,1.12228899221,0.395071048806
0.19,1.78895236779,0.616983163949
0.22,1.98711890034,0.446777397818
0.25,1.64880226577,0.504578026739
0.28,1.68676289821,0.363290734844
0.31,1.95282936368,0.55405336788
0.34,1.92561332441,0.419651275872
0.37,2.21340170343,0.41503657696
0.4,2.13457663743,0.345161988735
0.43,2.62687371868,0.313974071367
0.46,2.54193497884,0.30091807367
0.49,3.00893178905,0.291026813706
0.52,2.98543021745,0.257614940805
0.55,3.25735506207,0.296132002884
0.58,2.89517824438,0.278549460534
0.61,3.00819587734,0.262886212608
0.64,3.42355086748,0.223632886191
0.67,3.40604272731,0.326306146329
0.7,3.50194750379,0.211857593495
0.73,3.8711614993,0.16631922136
0.76,3.58186180375,0.195224648778
0.79,3.72713155224,0.141000261639
0.82,3.58548106482,0.120296353445
0.85,4.34668599949,0.190769685374
0.88,4.24706816581,0.083051533562
0.91,4.38491708916,0.114295164429
0.94,4.50805800409,0.0723809899937
0.97,4.52134143977,0.0362807649508
